Intestazione File:
310009,359017,135957,30126
310116,358906,134440,30126
310013,358942,133632,30126
310120,358869,132837,30126
310066,359031,134136,30126
310133,358903,137910,30126
310121,359047,141869,30126
310207,359061,142853,30126
310180,359110,143934,30127
310253,359023,146465,30127
310308,359082,146980,30127
310319,359102,145492,30127
310303,359277,142498,30127
310357,359129,139834,30127
310383,359297,138800,30127
310477,359243,137987,30127
310422,359312,135060,30128
310543,359342,132477,30128
310538,359415,132585,30128
310670,359422,133608,30128
310683,359631,136058,30128
310769,359627,138064,30128
310838,359777,139345,30128
310862,359681,142939,30128
310876,359865,145655,30129
311012,359893,145898,30129
311016,359987,145008,30129
311084,359946,145150,30129
311084,360029,144501,30129
311159,360095,142795,30129
311186,360159,140666,30129
311223,360110,137117,30129
311250,360169,135187,30130
311249,360236,134064,30130
311295,360202,133086,30130
311363,360250,133916,30130
311262,360236,136257,30130
311377,360248,139586,30130
311417,360349,142519,30130
311416,360333,143848,30130
311384,360296,144877,30131
311436,360372,145628,30131
311446,360477,144561,30131
311476,360539,143596,30131
311592,360521,143967,30131
311630,360673,143036,30131
311620,360624,140923,30131
311744,360779,138687,30131
311719,360792,135920,30132
311744,360844,134906,30132
311779,360825,134518,30132
311884,360856,135064,30132
311874,360884,136819,30132
311927,361029,138341,30132
311921,361000,140729,30132
311952,361115,142515,30132
311913,361085,143519,30133
311991,361130,144005,30133
312048,361101,144774,30133
312115,361223,145596,30133
312124,361275,145443,30133
312265,361255,142626,30133
312166,361391,140658,30133
312289,361311,138771,30133
312286,361419,136435,30134
312334,361480,133917,30134
312414,361442,133544,30134
312402,361502,135879,30134
312351,361611,137062,30134
312344,361481,137981,30134
312335,361565,139408,30134
312392,361526,142200,30134
312350,361552,145397,30135
312370,361503,146125,30135
312384,361586,146262,30135
312500,361566,145421,30135
312367,361592,144176,30135
312413,361631,141139,30135
312479,361672,138479,30135
312445,361537,136838,30135
312439,361647,134778,30136
312470,361754,133097,30136
312477,361695,133324,30136
312498,361716,134336,30136
312551,361780,136273,30136
312618,361825,139005,30136
312654,361823,141975,30136
312642,361874,143305,30136
312684,361908,144391,30137
312793,361918,145950,30137
312743,362034,145943,30137
312831,362106,144674,30137
312801,362096,142910,30137
312853,362080,139879,30137
312833,362214,138098,30137
312888,362155,138147,30137
312889,362156,137335,30138
